,x,y,radius,breast_area,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
test_Mix_DPerc0_c_0.dcm,1660.0,1194.0,90.50966799187813,421792,32400.0,0.9839160800891429,0.0021676257731648974,0.9776913099870298,0.9822690165560387,0.983764400701915,0.9853971160448616,0.9922941939421683,0.3308285359289608,-0.23844295841069185
test_Mix_DPerc0_c_0.dcm,1581.0,837.0,90.50966799187813,421792,32400.0,0.9827831109001223,0.0028612154290273725,0.9669947356374456,0.9809719996948195,0.9826504921034561,0.9845578698405433,0.9954985885404746,-0.0920074809283854,1.5929615248513254
test_Mix_DPerc0_c_0.dcm,1575.0,1318.0,90.50966799187813,421792,32400.0,0.9842053459323874,0.0026596813235080213,0.9770351720454719,0.9822384985122453,0.9840543221179522,0.9858701457236592,0.9946440833142596,0.40721991000326013,0.035727548974611126
test_Mix_DPerc0_c_0.dcm,1575.0,1030.0,90.50966799187813,421792,32400.0,0.9833961298599279,0.0027828845571954727,0.9768215457389181,0.981399252307927,0.9831235217822537,0.9851987487602045,0.9944457160296025,0.4241007789583655,-0.09704348465314827
test_Mix_DPerc0_c_0.dcm,1471.0,1098.0,90.50966799187813,421792,32400.0,0.9783032043004068,0.010357746893374414,0.9304188601510643,0.9767719539177538,0.9817196917677576,0.98422598611429,0.9954680704966812,-1.906981065929539,3.6977157263174982
test_Mix_DPerc0_c_0.dcm,1688.0,565.0,64.00000000000003,421792,16384.0,0.9816830185191476,0.0030179423884242732,0.9721675440604257,0.9797512779430838,0.9814297703517204,0.9836270695048447,0.9926451514457924,0.21425454087410423,0.03984173112274775
test_Mix_DPerc0_c_0.dcm,1654.0,636.0,64.00000000000003,421792,16384.0,0.9820296955989047,0.00275261008731941,0.9743038071259632,0.9801327534905012,0.9817044327458609,0.983810177767605,0.9926451514457924,0.42543242866650455,0.04087220008593178
test_Mix_DPerc0_c_0.dcm,1634.0,1564.0,64.00000000000003,421792,16384.0,0.98274157870377,0.004740104597653753,0.953459983215076,0.9812924391546501,0.9833524071107042,0.9854886701762418,0.9942320897230488,-1.769793934301066,5.37563677972974
test_Mix_DPerc0_c_0.dcm,1604.0,730.0,64.00000000000003,421792,16384.0,0.9819492672167665,0.002912514540777293,0.9731288624399176,0.979995422293431,0.9816891737239642,0.9835965514610513,0.9966887922484169,0.5458207878109692,1.0482281942514213
test_Mix_DPerc0_c_0.dcm,1578.0,1468.0,64.00000000000003,421792,16384.0,0.9841036149800084,0.0024713362075039057,0.978484779125658,0.9822232394903486,0.9838559548332951,0.9856717784390021,0.9930724040588998,0.4771022094501414,-0.19636695980568994
test_Mix_DPerc0_c_0.dcm,1507.0,1199.0,64.00000000000003,421792,16384.0,0.9839645580158742,0.002895145538287658,0.9770199130235752,0.9819333180743114,0.9836728465705348,0.9855649652857252,0.9954680704966812,0.6743386409209987,0.6326558756922858
test_Mix_DPerc0_c_0.dcm,1445.0,1377.0,64.00000000000003,421792,16384.0,0.9628256465637994,0.11989420187503726,0.0,0.9729915312428473,0.9815213244831006,0.9849546044098574,0.9942473487449455,-7.836967016129037,59.98205310227855
test_Mix_DPerc0_c_0.dcm,1710.0,1020.0,45.254833995939066,421792,8100.0,0.982382355295964,0.0029093321491780264,0.9765468833447776,0.9800869764248111,0.9820859082932784,0.9844052796215763,0.9915312428473335,0.4164628610394691,-0.40348273999290957
test_Mix_DPerc0_c_0.dcm,1707.0,1601.0,45.254833995939066,421792,8100.0,0.9829429265485317,0.0024285630246127943,0.9746395056076905,0.9814602883955138,0.9828641184100099,0.9843900205996796,0.9918364232852674,0.050731712105702154,0.5217396068299612
test_Mix_DPerc0_c_0.dcm,1705.0,1495.0,45.254833995939066,421792,8100.0,0.9837221671201987,0.0024735526736704198,0.9770656900892652,0.9821164263370717,0.9837949187457083,0.9854734111543451,0.9909361409933624,-0.11672005164441485,-0.25766832329416633
test_Mix_DPerc0_c_0.dcm,1693.0,867.0,45.254833995939066,421792,8100.0,0.9832554614582539,0.0019471298956734706,0.9776150148775463,0.9819333180743114,0.9831998168917372,0.9844815747310598,0.9893644617380026,0.19575091447627185,-0.10367387411402988
test_Mix_DPerc0_c_0.dcm,1626.0,1420.0,45.254833995939066,421792,8100.0,0.984045059326512,0.0021042249234026126,0.9789120317387655,0.982406347753109,0.9838559548332951,0.9853208209353781,0.9930724040588998,0.5808866570102338,0.11856486581185585
test_Mix_DPerc0_c_0.dcm,1496.0,973.0,45.254833995939066,421792,8100.0,0.983243276846695,0.0023224417754772286,0.9762569619287403,0.9816433966582742,0.9831998168917372,0.9846952010376135,0.9944457160296025,0.3898714593656941,0.6407053764228542
test_Mix_DPerc0_c_0.dcm,1724.0,1402.0,32.00000000000001,421792,4096.0,0.9850706825014783,0.0023580217317451684,0.9808346684977493,0.9831845578698405,0.9848630502784772,0.9866178377965973,0.9958037689784085,0.7425978325398829,0.8984006957211298
test_Mix_DPerc0_c_0.dcm,1719.0,908.0,32.00000000000001,421792,4096.0,0.9835436180035001,0.0016300583633240143,0.9793850614175631,0.9822804608224612,0.9835660334172579,0.9846799420157168,0.9893339436942092,0.25219505883511256,-0.330079667732899
test_Mix_DPerc0_c_0.dcm,1718.0,738.0,32.00000000000001,421792,4096.0,0.982594641699092,0.0029087725007696857,0.976577401388571,0.9804074158846418,0.9823147936217288,0.9843747615777828,0.9925993743801023,0.6345470493014742,0.15816694674407336
