,x,y,radius,breast_area
phMix402_c_0.dcm,1579.0,1351.0,181.01933598375626,422116
phMix402_c_0.dcm,1511.0,1069.0,128.00000000000006,422116
phMix402_c_0.dcm,1561.0,791.0,90.50966799187813,422116
phMix402_c_0.dcm,1695.0,1050.0,45.25483399593906,422116
phMix402_c_0.dcm,1695.0,574.0,45.25483399593906,422116
phMix402_c_0.dcm,1690.0,1138.0,45.25483399593906,422116
phMix402_c_0.dcm,1722.0,821.0,32.00000000000001,422116
phMix402_c_0.dcm,1699.0,1622.0,32.00000000000001,422116
phMix402_c_0.dcm,1681.0,1183.0,32.00000000000001,422116
phMix402_c_0.dcm,1639.0,985.0,32.00000000000001,422116
phMix402_c_0.dcm,1639.0,944.0,32.00000000000001,422116
phMix402_c_0.dcm,1732.0,866.0,22.627416997969526,422116
phMix402_c_0.dcm,1741.0,1445.0,16.000000000000004,422116
phMix402_c_0.dcm,1729.0,540.0,16.000000000000004,422116
phMix402_c_0.dcm,1656.0,1093.0,16.000000000000004,422116
phMix402_c_0.dcm,1398.0,1205.0,16.000000000000004,422116
phMix402_c_0.dcm,1396.0,1175.0,16.000000000000004,422116
phMix402_c_0.dcm,1747.0,1491.0,11.313708498984761,422116
phMix402_c_0.dcm,1746.0,1015.0,11.313708498984761,422116
phMix402_c_0.dcm,1741.0,557.0,11.313708498984761,422116
phMix402_c_0.dcm,1736.0,1153.0,11.313708498984761,422116
phMix402_c_0.dcm,1731.0,1475.0,11.313708498984761,422116
phMix402_c_0.dcm,1723.0,1177.0,11.313708498984761,422116
phMix402_c_0.dcm,1714.0,723.0,11.313708498984761,422116
phMix402_c_0.dcm,1712.0,1550.0,11.313708498984761,422116
phMix402_c_0.dcm,1700.0,1509.0,11.313708498984761,422116
phMix402_c_0.dcm,1694.0,1552.0,11.313708498984761,422116
phMix402_c_0.dcm,1693.0,1527.0,11.313708498984761,422116
phMix402_c_0.dcm,1693.0,994.0,11.313708498984761,422116
phMix402_c_0.dcm,1693.0,512.0,11.313708498984761,422116
phMix402_c_0.dcm,1688.0,1496.0,11.313708498984761,422116
phMix402_c_0.dcm,1674.0,701.0,11.313708498984761,422116
phMix402_c_0.dcm,1663.0,767.0,11.313708498984761,422116
phMix402_c_0.dcm,1590.0,681.0,11.313708498984761,422116
phMix402_c_0.dcm,1750.0,1465.0,8.0,422116
phMix402_c_0.dcm,1750.0,1142.0,8.0,422116
phMix402_c_0.dcm,1745.0,670.0,8.0,422116
phMix402_c_0.dcm,1745.0,459.0,8.0,422116
phMix402_c_0.dcm,1743.0,1162.0,8.0,422116
phMix402_c_0.dcm,1742.0,635.0,8.0,422116
phMix402_c_0.dcm,1715.0,699.0,8.0,422116
phMix402_c_0.dcm,1710.0,925.0,8.0,422116
phMix402_c_0.dcm,1707.0,746.0,8.0,422116
phMix402_c_0.dcm,1693.0,1655.0,8.0,422116
phMix402_c_0.dcm,1687.0,975.0,8.0,422116
phMix402_c_0.dcm,1685.0,812.0,8.0,422116
phMix402_c_0.dcm,1678.0,1647.0,8.0,422116
phMix402_c_0.dcm,1678.0,933.0,8.0,422116
phMix402_c_0.dcm,1677.0,1529.0,8.0,422116
phMix402_c_0.dcm,1658.0,797.0,8.0,422116
phMix402_c_0.dcm,1656.0,536.0,8.0,422116
phMix402_c_0.dcm,1654.0,871.0,8.0,422116
phMix402_c_0.dcm,1644.0,897.0,8.0,422116
phMix402_c_0.dcm,1625.0,871.0,8.0,422116
phMix402_c_0.dcm,1595.0,701.0,8.0,422116
phMix402_c_0.dcm,1461.0,863.0,8.0,422116
phMix402_c_0.dcm,1419.0,1230.0,8.0,422116
phMix402_c_0.dcm,1390.0,1241.0,8.0,422116
phMix402_c_0.dcm,1390.0,1233.0,8.0,422116
phMix402_c_1.dcm,1579.0,1354.0,181.01933598375626,422116
phMix402_c_1.dcm,1519.0,932.0,128.00000000000006,422116
phMix402_c_1.dcm,1511.0,1074.0,128.00000000000006,422116
phMix402_c_1.dcm,1561.0,794.0,90.50966799187813,422116
phMix402_c_1.dcm,1695.0,1054.0,45.25483399593906,422116
phMix402_c_1.dcm,1695.0,576.0,45.25483399593906,422116
phMix402_c_1.dcm,1690.0,1142.0,45.25483399593906,422116
phMix402_c_1.dcm,1722.0,823.0,32.00000000000001,422116
phMix402_c_1.dcm,1699.0,1623.0,32.00000000000001,422116
phMix402_c_1.dcm,1639.0,990.0,32.00000000000001,422116
phMix402_c_1.dcm,1733.0,871.0,22.627416997969526,422116
phMix402_c_1.dcm,1716.0,623.0,22.627416997969526,422116
phMix402_c_1.dcm,1583.0,698.0,22.627416997969526,422116
phMix402_c_1.dcm,1739.0,1448.0,16.000000000000004,422116
phMix402_c_1.dcm,1717.0,709.0,16.000000000000004,422116
phMix402_c_1.dcm,1656.0,1095.0,16.000000000000004,422116
phMix402_c_1.dcm,1398.0,1208.0,16.000000000000004,422116
phMix402_c_1.dcm,1397.0,1181.0,16.000000000000004,422116
phMix402_c_1.dcm,1747.0,1031.0,11.313708498984761,422116
phMix402_c_1.dcm,1747.0,582.0,11.313708498984761,422116
phMix402_c_1.dcm,1746.0,1018.0,11.313708498984761,422116
phMix402_c_1.dcm,1746.0,675.0,11.313708498984761,422116
phMix402_c_1.dcm,1741.0,560.0,11.313708498984761,422116
phMix402_c_1.dcm,1739.0,466.0,11.313708498984761,422116
phMix402_c_1.dcm,1738.0,1158.0,11.313708498984761,422116
phMix402_c_1.dcm,1731.0,1478.0,11.313708498984761,422116
phMix402_c_1.dcm,1723.0,1180.0,11.313708498984761,422116
phMix402_c_1.dcm,1714.0,727.0,11.313708498984761,422116
phMix402_c_1.dcm,1712.0,1554.0,11.313708498984761,422116
phMix402_c_1.dcm,1701.0,696.0,11.313708498984761,422116
phMix402_c_1.dcm,1700.0,1517.0,11.313708498984761,422116
phMix402_c_1.dcm,1694.0,1001.0,11.313708498984761,422116
phMix402_c_1.dcm,1692.0,517.0,11.313708498984761,422116
phMix402_c_1.dcm,1689.0,1534.0,11.313708498984761,422116
phMix402_c_1.dcm,1688.0,980.0,11.313708498984761,422116
phMix402_c_1.dcm,1682.0,937.0,11.313708498984761,422116
phMix402_c_1.dcm,1675.0,705.0,11.313708498984761,422116
phMix402_c_1.dcm,1661.0,769.0,11.313708498984761,422116
phMix402_c_1.dcm,1661.0,606.0,11.313708498984761,422116
phMix402_c_1.dcm,1657.0,874.0,11.313708498984761,422116
phMix402_c_1.dcm,1646.0,903.0,11.313708498984761,422116
phMix402_c_1.dcm,1548.0,667.0,11.313708498984761,422116
phMix402_c_1.dcm,1389.0,1227.0,11.313708498984761,422116
phMix402_c_1.dcm,1750.0,1468.0,8.0,422116
phMix402_c_1.dcm,1750.0,1166.0,8.0,422116
phMix402_c_1.dcm,1748.0,1066.0,8.0,422116
phMix402_c_1.dcm,1746.0,1496.0,8.0,422116
phMix402_c_1.dcm,1741.0,640.0,8.0,422116
phMix402_c_1.dcm,1738.0,598.0,8.0,422116
phMix402_c_1.dcm,1722.0,684.0,8.0,422116
phMix402_c_1.dcm,1710.0,1479.0,8.0,422116
phMix402_c_1.dcm,1708.0,928.0,8.0,422116
phMix402_c_1.dcm,1708.0,749.0,8.0,422116
phMix402_c_1.dcm,1683.0,960.0,8.0,422116
phMix402_c_1.dcm,1682.0,797.0,8.0,422116
phMix402_c_1.dcm,1680.0,1649.0,8.0,422116
phMix402_c_1.dcm,1665.0,864.0,8.0,422116
phMix402_c_1.dcm,1652.0,806.0,8.0,422116
phMix402_c_1.dcm,1561.0,690.0,8.0,422116
phMix402_c_1.dcm,1436.0,1218.0,8.0,422116
phMix402_c_1.dcm,1390.0,1247.0,8.0,422116
phMix402_c_1.dcm,1390.0,1239.0,8.0,422116
