,x,y,radius,breast_area,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
test_Mix_DPerc0_c_0.dcm,1718.0,329.0,22.627416997969533,421792,1936.0,0.4849032024793388,0.14663277226419588,0.0,0.40037500000000004,0.46840000000000004,0.6028,0.8681,-0.39197132827179426,0.9463731340185592
test_Mix_DPerc0_c_0.dcm,1736.0,310.0,16.000000000000004,421792,1024.0,0.58070830078125,0.1573152243856354,0.0,0.49085,0.59635,0.69095,0.8279,-1.549258039954945,4.14071144332145
test_Mix_DPerc0_c_0.dcm,1679.0,343.0,16.000000000000004,421792,1024.0,0.48320097656249994,0.19437546855298912,0.0,0.427525,0.508,0.61825,0.7774,-1.2386005998078384,1.2364722923406557
test_Mix_DPerc0_c_0.dcm,1651.0,377.0,16.000000000000004,421792,1024.0,0.44938544921875,0.12011232594445205,0.0,0.37505,0.45595,0.525175,0.7462,-0.7353051285268718,2.479636486137055
test_Mix_DPerc0_c_0.dcm,1623.0,411.0,16.000000000000004,421792,1024.0,0.43399716796875,0.11731989379364781,0.0,0.364225,0.42369999999999997,0.49435,0.6976,-0.4436577734412271,2.1511125640799613
test_Mix_DPerc0_c_0.dcm,1585.0,460.0,16.000000000000004,421792,1024.0,0.38917001953124997,0.11343760623319565,0.0,0.33455,0.396,0.45585,0.6869,-1.27960205640385,4.0527282970580565
test_Mix_DPerc0_c_0.dcm,1561.0,489.0,11.31370849898476,421792,484.0,0.44853016528925616,0.11210640002551475,0.0,0.412725,0.4688,0.5156000000000001,0.5863,-2.5417093734355842,7.974095367494598
test_Mix_DPerc0_c_0.dcm,1551.0,521.0,11.31370849898476,421792,484.0,0.40818037190082646,0.04972075986714384,0.2873,0.36572499999999997,0.40675,0.4497,0.515,0.03563077393344723,-0.9545760592309982
test_Mix_DPerc0_c_0.dcm,1526.0,547.0,11.31370849898476,421792,484.0,0.38978946280991733,0.17559369365400515,0.0,0.343375,0.42515000000000003,0.51315,0.6289,-1.1809008266168324,0.5582953781667943
test_Mix_DPerc0_c_0.dcm,1503.0,596.0,11.31370849898476,421792,484.0,0.3913332644628099,0.1441360048613661,0.0,0.3781,0.4138,0.47605,0.6055,-1.8712456038107677,2.887914010996347
test_Mix_DPerc0_c_0.dcm,1491.0,624.0,11.31370849898476,421792,484.0,0.4178179752066116,0.16411502539463274,0.0,0.381525,0.4516,0.5319,0.6044,-1.6541575484107318,1.9147725512306684
test_Mix_DPerc0_c_0.dcm,1485.0,644.0,11.31370849898476,421792,484.0,0.45330661157024793,0.12593035637204247,0.0,0.410875,0.47025,0.534775,0.601,-2.348767309920865,6.337326703623138
test_Mix_DPerc0_c_0.dcm,1476.0,671.0,11.31370849898476,421792,484.0,0.4435838842975206,0.09366908664856659,0.0,0.398725,0.45025,0.507275,0.5816,-2.250728924153782,9.11662003943278
test_Mix_DPerc0_c_0.dcm,1461.0,709.0,11.31370849898476,421792,484.0,0.42225764462809917,0.12259985224977395,0.0,0.3825,0.44320000000000004,0.50075,0.5856,-2.204049477212632,5.457368838806632
test_Mix_DPerc0_c_0.dcm,1459.0,726.0,11.31370849898476,421792,484.0,0.4188727272727273,0.05801851635612247,0.0,0.374975,0.41715,0.46575,0.5464,-0.6213489311924116,4.290290719098266
test_Mix_DPerc0_c_0.dcm,1435.0,795.0,11.31370849898476,421792,484.0,0.4112904958677686,0.07377452157559565,0.0,0.3759,0.40705,0.45035000000000003,0.5678,-2.2066840098106177,12.124417498232459
test_Mix_DPerc0_c_0.dcm,1428.0,821.0,11.31370849898476,421792,484.0,0.41719731404958676,0.07717997984475651,0.0,0.370425,0.42685,0.46957499999999996,0.5455,-2.1852155808631073,10.165491485615217
test_Mix_DPerc0_c_0.dcm,1420.0,856.0,11.31370849898476,421792,484.0,0.41742107438016524,0.06951229637921406,0.0,0.36335,0.4159,0.468575,0.5817,-0.2804802196236471,1.565211029023229
test_Mix_DPerc0_c_0.dcm,1380.0,1074.0,11.31370849898476,421792,484.0,0.39154442148760327,0.10757339287641783,0.0,0.3433,0.4034,0.46072500000000005,0.554,-1.8753587963160712,5.132691415361609
test_Mix_DPerc0_c_0.dcm,1377.0,1098.0,11.31370849898476,421792,484.0,0.41664793388429755,0.13402708116024595,0.0,0.35145000000000004,0.4439,0.506625,0.5837,-1.744847423291208,3.350744054388619
test_Mix_DPerc0_c_0.dcm,1751.0,291.0,8.0,421792,256.0,0.469227734375,0.3703754548313285,0.0,0.0,0.70565,0.7777000000000001,0.8676,-0.45129311250745735,-1.7457282498312727
test_Mix_DPerc0_c_0.dcm,1643.0,393.0,8.0,421792,256.0,0.41341328125,0.04367411288901203,0.3342,0.36999999999999994,0.4135,0.4499,0.507,0.15912993294994507,-0.8975253168326065
test_Mix_DPerc0_c_0.dcm,1566.0,474.0,8.0,421792,256.0,0.42921953124999995,0.12039509634896886,0.0,0.41705000000000003,0.4509,0.48685,0.5738,-2.7334313558925922,7.473728038335526
test_Mix_DPerc0_c_0.dcm,1416.0,837.0,8.0,421792,256.0,0.3870109375,0.21915842715630962,0.0,0.409825,0.47785,0.535525,0.5967,-1.1166818396650526,-0.5492235782257726
test_Mix_DPerc0_c_0.dcm,1397.0,948.0,8.0,421792,256.0,0.386471875,0.12193135898496968,0.0,0.392425,0.41745,0.45,0.4688,-2.698629096853386,5.918692349212599
test_Mix_DPerc0_c_0.dcm,1382.0,1045.0,8.0,421792,256.0,0.416948046875,0.07055803171367266,0.0,0.4017,0.42355,0.4525,0.499,-4.814776521772481,26.416469950508823
test_Mix_DPerc0_c_1.dcm,1716.0,331.0,22.627416997969533,421792,1936.0,0.5091405991735538,0.14849476840053352,0.0,0.4209,0.48655,0.62205,0.8964,-0.2252460003784417,0.9548277220200702
test_Mix_DPerc0_c_1.dcm,1736.0,310.0,16.000000000000004,421792,1024.0,0.61528486328125,0.164337112678483,0.0,0.5401,0.6272,0.73085,0.8687,-1.6687420513933657,4.496294671455267
test_Mix_DPerc0_c_1.dcm,1675.0,349.0,16.000000000000004,421792,1024.0,0.5186295898437501,0.18108661514096988,0.0,0.43842499999999995,0.5267,0.64525,0.8449,-1.1146658659480517,1.8036904949291697
test_Mix_DPerc0_c_1.dcm,1650.0,379.0,16.000000000000004,421792,1024.0,0.46344277343750007,0.11839027093773814,0.0,0.393,0.46795,0.526725,0.785,-0.4718024166131933,2.3316252120870287
test_Mix_DPerc0_c_1.dcm,1621.0,414.0,16.000000000000004,421792,1024.0,0.45033496093750003,0.11811377208359176,0.0,0.3823,0.43910000000000005,0.512675,0.703,-0.5129285610886294,2.242423856467257
test_Mix_DPerc0_c_1.dcm,1586.0,457.0,16.000000000000004,421792,1024.0,0.4045306640625,0.14083279235633353,0.0,0.34545,0.4041,0.46695000000000003,0.7587,-0.5636105233494934,2.3839306385678336
test_Mix_DPerc0_c_1.dcm,1561.0,500.0,16.000000000000004,421792,1024.0,0.41442861328125,0.11299848808939705,0.0,0.34395,0.42755,0.492525,0.6784,-1.2918135241206767,3.4998212846134753
test_Mix_DPerc0_c_1.dcm,1751.0,296.0,11.31370849898476,421792,484.0,0.4899975206611571,0.3611288053189709,0.0,0.0,0.6782,0.7774,0.9225,-0.5339184898401065,-1.5480295791780827
test_Mix_DPerc0_c_1.dcm,1526.0,550.0,11.31370849898476,421792,484.0,0.4220264462809918,0.15871571550027802,0.0,0.359225,0.43720000000000003,0.5337749999999999,0.6329,-1.3671928414596446,1.7535987904303838
test_Mix_DPerc0_c_1.dcm,1490.0,628.0,11.31370849898476,421792,484.0,0.43191219008264464,0.1549952604503353,0.0,0.39025,0.4775,0.5335249999999999,0.607,-1.8493976439718611,2.832361436148855
test_Mix_DPerc0_c_1.dcm,1484.0,647.0,11.31370849898476,421792,484.0,0.4616549586776859,0.12329931362909614,0.0,0.4221,0.48205,0.5427,0.5949,-2.4754256249836093,7.052421633513451
test_Mix_DPerc0_c_1.dcm,1474.0,676.0,11.31370849898476,421792,484.0,0.44483657024793394,0.09382003920888395,0.0,0.405375,0.4514,0.509475,0.5733,-2.518624016804712,10.114887870434309
