,x,y,radius,breast_area
test_Mix_DPerc0_c_0.dcm,1718.0,329.0,22.627416997969526,421792
test_Mix_DPerc0_c_0.dcm,1736.0,310.0,16.000000000000004,421792
test_Mix_DPerc0_c_0.dcm,1679.0,343.0,16.000000000000004,421792
test_Mix_DPerc0_c_0.dcm,1651.0,377.0,16.000000000000004,421792
test_Mix_DPerc0_c_0.dcm,1623.0,411.0,16.000000000000004,421792
test_Mix_DPerc0_c_0.dcm,1585.0,460.0,16.000000000000004,421792
test_Mix_DPerc0_c_0.dcm,1561.0,489.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1551.0,521.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1526.0,547.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1503.0,596.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1491.0,624.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1485.0,644.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1476.0,671.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1461.0,709.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1459.0,726.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1435.0,795.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1428.0,821.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1420.0,856.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1380.0,1074.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1377.0,1098.0,11.313708498984761,421792
test_Mix_DPerc0_c_0.dcm,1751.0,291.0,8.0,421792
test_Mix_DPerc0_c_0.dcm,1643.0,393.0,8.0,421792
test_Mix_DPerc0_c_0.dcm,1566.0,474.0,8.0,421792
test_Mix_DPerc0_c_0.dcm,1416.0,837.0,8.0,421792
test_Mix_DPerc0_c_0.dcm,1397.0,948.0,8.0,421792
test_Mix_DPerc0_c_0.dcm,1382.0,1045.0,8.0,421792
test_Mix_DPerc0_c_1.dcm,1716.0,331.0,22.627416997969526,421792
test_Mix_DPerc0_c_1.dcm,1736.0,310.0,16.000000000000004,421792
test_Mix_DPerc0_c_1.dcm,1675.0,349.0,16.000000000000004,421792
test_Mix_DPerc0_c_1.dcm,1650.0,379.0,16.000000000000004,421792
test_Mix_DPerc0_c_1.dcm,1621.0,414.0,16.000000000000004,421792
test_Mix_DPerc0_c_1.dcm,1586.0,457.0,16.000000000000004,421792
test_Mix_DPerc0_c_1.dcm,1561.0,500.0,16.000000000000004,421792
test_Mix_DPerc0_c_1.dcm,1751.0,296.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1526.0,550.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1490.0,628.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1484.0,647.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1474.0,676.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1460.0,711.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1458.0,729.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1433.0,798.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1427.0,823.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1419.0,860.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1377.0,1102.0,11.313708498984761,421792
test_Mix_DPerc0_c_1.dcm,1685.0,324.0,8.0,421792
test_Mix_DPerc0_c_1.dcm,1679.0,332.0,8.0,421792
test_Mix_DPerc0_c_1.dcm,1655.0,356.0,8.0,421792
test_Mix_DPerc0_c_1.dcm,1549.0,520.0,8.0,421792
test_Mix_DPerc0_c_1.dcm,1472.0,662.0,8.0,421792
test_Mix_DPerc0_c_10.dcm,1716.0,344.0,22.627416997969526,421516
test_Mix_DPerc0_c_10.dcm,1659.0,389.0,22.627416997969526,421516
test_Mix_DPerc0_c_10.dcm,1589.0,471.0,22.627416997969526,421516
test_Mix_DPerc0_c_10.dcm,1740.0,331.0,16.000000000000004,421516
test_Mix_DPerc0_c_10.dcm,1615.0,423.0,16.000000000000004,421516
test_Mix_DPerc0_c_10.dcm,1556.0,514.0,16.000000000000004,421516
test_Mix_DPerc0_c_10.dcm,1538.0,545.0,16.000000000000004,421516
test_Mix_DPerc0_c_10.dcm,1523.0,577.0,16.000000000000004,421516
test_Mix_DPerc0_c_10.dcm,1524.0,561.0,11.313708498984761,421516
test_Mix_DPerc0_c_10.dcm,1496.0,621.0,11.313708498984761,421516
test_Mix_DPerc0_c_10.dcm,1490.0,638.0,11.313708498984761,421516
test_Mix_DPerc0_c_10.dcm,1483.0,656.0,11.313708498984761,421516
test_Mix_DPerc0_c_10.dcm,1475.0,674.0,11.313708498984761,421516
test_Mix_DPerc0_c_10.dcm,1465.0,698.0,11.313708498984761,421516
test_Mix_DPerc0_c_10.dcm,1456.0,724.0,11.313708498984761,421516
test_Mix_DPerc0_c_10.dcm,1452.0,741.0,11.313708498984761,421516
test_Mix_DPerc0_c_10.dcm,1554.0,491.0,8.0,421516
test_Mix_DPerc0_c_11.dcm,1722.0,346.0,22.627416997969526,421516
test_Mix_DPerc0_c_11.dcm,1658.0,390.0,22.627416997969526,421516
test_Mix_DPerc0_c_11.dcm,1612.0,445.0,22.627416997969526,421516
test_Mix_DPerc0_c_11.dcm,1588.0,473.0,22.627416997969526,421516
test_Mix_DPerc0_c_11.dcm,1741.0,333.0,16.000000000000004,421516
test_Mix_DPerc0_c_11.dcm,1685.0,368.0,16.000000000000004,421516
test_Mix_DPerc0_c_11.dcm,1554.0,517.0,16.000000000000004,421516
test_Mix_DPerc0_c_11.dcm,1537.0,547.0,16.000000000000004,421516
test_Mix_DPerc0_c_11.dcm,1528.0,562.0,16.000000000000004,421516
test_Mix_DPerc0_c_11.dcm,1484.0,670.0,16.000000000000004,421516
test_Mix_DPerc0_c_11.dcm,1538.0,531.0,11.313708498984761,421516
test_Mix_DPerc0_c_11.dcm,1508.0,591.0,11.313708498984761,421516
test_Mix_DPerc0_c_11.dcm,1494.0,627.0,11.313708498984761,421516
test_Mix_DPerc0_c_11.dcm,1465.0,699.0,11.313708498984761,421516
test_Mix_DPerc0_c_11.dcm,1457.0,722.0,11.313708498984761,421516
test_Mix_DPerc0_c_11.dcm,1452.0,741.0,11.313708498984761,421516
test_Mix_DPerc0_c_11.dcm,1441.0,770.0,11.313708498984761,421516
test_Mix_DPerc0_c_11.dcm,1434.0,799.0,11.313708498984761,421516
test_Mix_DPerc0_c_11.dcm,1703.0,366.0,8.0,421516
test_Mix_DPerc0_c_11.dcm,1626.0,403.0,8.0,421516
test_Mix_DPerc0_c_11.dcm,1556.0,495.0,8.0,421516
test_Mix_DPerc0_c_11.dcm,1497.0,601.0,8.0,421516
test_Mix_DPerc0_c_11.dcm,1463.0,686.0,8.0,421516
test_Mix_DPerc0_c_12.dcm,1718.0,356.0,32.00000000000001,421312
test_Mix_DPerc0_c_12.dcm,1654.0,397.0,22.627416997969526,421312
test_Mix_DPerc0_c_12.dcm,1588.0,477.0,22.627416997969526,421312
test_Mix_DPerc0_c_12.dcm,1685.0,371.0,16.000000000000004,421312
test_Mix_DPerc0_c_12.dcm,1613.0,432.0,16.000000000000004,421312
test_Mix_DPerc0_c_12.dcm,1594.0,453.0,16.000000000000004,421312
test_Mix_DPerc0_c_12.dcm,1554.0,520.0,16.000000000000004,421312
test_Mix_DPerc0_c_12.dcm,1526.0,571.0,16.000000000000004,421312
test_Mix_DPerc0_c_12.dcm,1503.0,627.0,16.000000000000004,421312
test_Mix_DPerc0_c_12.dcm,1484.0,675.0,16.000000000000004,421312
test_Mix_DPerc0_c_12.dcm,1467.0,717.0,16.000000000000004,421312
test_Mix_DPerc0_c_12.dcm,1534.0,545.0,11.313708498984761,421312
test_Mix_DPerc0_c_12.dcm,1507.0,597.0,11.313708498984761,421312
test_Mix_DPerc0_c_12.dcm,1466.0,701.0,11.313708498984761,421312
test_Mix_DPerc0_c_12.dcm,1453.0,743.0,11.313708498984761,421312
test_Mix_DPerc0_c_12.dcm,1441.0,774.0,11.313708498984761,421312
test_Mix_DPerc0_c_12.dcm,1431.0,810.0,11.313708498984761,421312
test_Mix_DPerc0_c_12.dcm,1414.0,886.0,11.313708498984761,421312
test_Mix_DPerc0_c_12.dcm,1627.0,406.0,8.0,421312
test_Mix_DPerc0_c_12.dcm,1555.0,497.0,8.0,421312
test_Mix_DPerc0_c_12.dcm,1538.0,533.0,8.0,421312
test_Mix_DPerc0_c_12.dcm,1497.0,604.0,8.0,421312
test_Mix_DPerc0_c_13.dcm,1725.0,353.0,22.627416997969526,421312
test_Mix_DPerc0_c_13.dcm,1653.0,399.0,22.627416997969526,421312
test_Mix_DPerc0_c_13.dcm,1611.0,450.0,22.627416997969526,421312
test_Mix_DPerc0_c_13.dcm,1587.0,479.0,22.627416997969526,421312
test_Mix_DPerc0_c_13.dcm,1684.0,375.0,16.000000000000004,421312
test_Mix_DPerc0_c_13.dcm,1553.0,522.0,16.000000000000004,421312
test_Mix_DPerc0_c_13.dcm,1538.0,548.0,16.000000000000004,421312
test_Mix_DPerc0_c_13.dcm,1524.0,577.0,16.000000000000004,421312
test_Mix_DPerc0_c_13.dcm,1484.0,674.0,16.000000000000004,421312
test_Mix_DPerc0_c_13.dcm,1505.0,601.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1492.0,635.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1472.0,687.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1466.0,702.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1457.0,728.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1452.0,746.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1440.0,777.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1429.0,815.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1413.0,887.0,11.313708498984761,421312
test_Mix_DPerc0_c_13.dcm,1703.0,371.0,8.0,421312
test_Mix_DPerc0_c_13.dcm,1625.0,410.0,8.0,421312
test_Mix_DPerc0_c_13.dcm,1561.0,498.0,8.0,421312
test_Mix_DPerc0_c_13.dcm,1494.0,612.0,8.0,421312
test_Mix_DPerc0_c_14.dcm,1720.0,358.0,22.627416997969526,421155
test_Mix_DPerc0_c_14.dcm,1588.0,482.0,22.627416997969526,421155
