,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
test_Mix_DPerc0_c_0.dcm,421792.0,0.9765490337572548,0.014647274300337706,0.8675364309147784,0.9771725032425421,0.9816739147020676,0.9840848401617456,0.9966887922484169,-2.630465083281235,7.921945325082972
test_Mix_DPerc0_c_1.dcm,421792.0,0.9767392575692855,0.015083794644177848,0.8592355230029755,0.9774929427023727,0.9819638361181048,0.984313725490196,0.9966887922484169,-2.8193864849440504,9.471373114551811
test_Mix_DPerc0_c_10.dcm,421516.0,0.9746476650553948,0.02463576308070616,0.48549629968719005,0.9776607919432364,0.9819943541618982,0.9842984664682993,0.9967040512703136,-5.256216396724,41.17982068250904
test_Mix_DPerc0_c_11.dcm,421516.0,0.9743023632754609,0.028131210312190617,0.10417334248874648,0.9778133821622034,0.9822690165560387,0.9845883878843367,0.9966582742046235,-6.73114076317097,78.17457264283593
test_Mix_DPerc0_c_12.dcm,421312.0,0.9742025508437717,0.027125807608870515,0.2374303807125963,0.9775082017242694,0.9820401312275883,0.9843747615777828,0.9966582742046235,-6.138901668766709,60.29481249886379
test_Mix_DPerc0_c_13.dcm,421312.0,0.9733519262895481,0.03282999193387478,0.10418860151064317,0.9773098344396124,0.9819485770962081,0.9843289845120927,0.9966430151827268,-9.345144666171658,156.27845647584573
test_Mix_DPerc0_c_14.dcm,421155.0,0.9717474232298452,0.03136684239809517,0.10479896238651103,0.9753871976806286,0.9801632715342946,0.982604715037766,0.9968108644235905,-8.65835998007803,137.14682459719344
test_Mix_DPerc0_c_2.dcm,421155.0,0.9763875268090954,0.013857453779582411,0.8796826123445487,0.976928358892195,0.9812924391546501,0.9835660334172579,0.9967803463797971,-2.4637293607827395,6.445373118748126
test_Mix_DPerc0_c_3.dcm,421060.0,0.9771695175390885,0.013756060548369179,0.882230869001297,0.9777676050965133,0.9820096131837949,0.9842832074464026,0.9967193102922103,-2.455546368467204,6.350876686385908
test_Mix_DPerc0_c_4.dcm,421060.0,0.9771695592870426,0.013967819979059978,0.8717631799801633,0.9778591592278935,0.9820706492713817,0.9843289845120927,0.9967193102922103,-2.5722846287144803,7.344817189204887
test_Mix_DPerc0_c_5.dcm,421102.0,0.9760629567251371,0.013880826193253318,0.8730296787975891,0.976775768673228,0.9809414816510261,0.9831845578698405,0.9968566414892805,-2.548233802095974,7.1327832560207725
test_Mix_DPerc0_c_6.dcm,421102.0,0.9770730195667264,0.014257305451846673,0.8651255054551004,0.9779049362935835,0.9820401312275883,0.9842984664682993,0.996734569314107,-2.690266898071092,8.343155969962204
test_Mix_DPerc0_c_7.dcm,421069.0,0.9774531696395627,0.014171801534681205,0.8666819256885634,0.9782711528191043,0.982406347753109,0.9846646829938202,0.9966887922484169,-2.653011946959727,8.048330396124998
test_Mix_DPerc0_c_8.dcm,421069.0,0.9774122045387114,0.014667558021970327,0.8613870450904098,0.9783169298847944,0.9824826428625925,0.9847562371252003,0.9966735332265202,-2.811071450801383,9.41792590862738
test_Mix_DPerc0_c_9.dcm,421142.0,0.9770390421098369,0.014587799338397288,0.8623025864042115,0.9778896772716869,0.982101167315175,0.9843900205996796,0.9967040512703136,-2.75955110730946,9.027803766754865
test_Mix_DPerc10_c_0.dcm,421142.0,0.9751784323244849,0.01598459497842355,0.8299687190051118,0.9746700236514839,0.979140917067216,0.9832761120012207,0.9976348516060121,-3.101280499650546,13.70043350345129
test_Mix_DPerc10_c_1.dcm,421306.0,0.9753002437184582,0.016273351425267688,0.8207827878233005,0.9749446860456245,0.9792935072861829,0.9834134431982909,0.9976348516060121,-3.2609249556616824,15.24999894557135
test_Mix_DPerc10_c_10.dcm,421306.0,0.9772289361910115,0.014468652274615272,0.8525673304341191,0.9767147325856412,0.9810177767605096,0.9849088273441673,0.9974822613870451,-2.544630783303936,8.348833783787319
test_Mix_DPerc10_c_11.dcm,421485.0,0.9772759310893943,0.014465566665295946,0.8552529182879377,0.9767299916075379,0.9811245899137865,0.9850003814755475,0.9974670023651484,-2.494102037972659,7.926306840500378
test_Mix_DPerc10_c_12.dcm,421485.0,0.9767374783881547,0.01498001249806286,0.8411383230334936,0.9762569619287403,0.9807583733882658,0.9846189059281301,0.9974822613870451,-2.672406328972371,9.48472703023035
test_Mix_DPerc10_c_13.dcm,422104.0,0.9706013117651571,0.05262261746745516,0.10272373540856031,0.9757076371404593,0.9803921568627451,0.9842412451361867,0.9975127794308385,-11.554347609155851,170.54184316808423
test_Mix_DPerc10_c_14.dcm,421835.0,0.9705328024527775,0.050875772832918977,0.10299839780270084,0.9752498664835584,0.9801174944686045,0.9839322499427786,0.9975127794308385,-11.706758471361566,177.73999382565202
test_Mix_DPerc10_c_2.dcm,421633.0,0.9757341638653856,0.014354004231359688,0.8698405432211795,0.9750514991989013,0.9793545433737697,0.9834287022201876,0.9976501106279088,-2.417274642712115,7.288023563602075
test_Mix_DPerc10_c_3.dcm,421494.0,0.9759539793642715,0.014201114409857562,0.8712291142137789,0.9752956435492485,0.9795223926146334,0.9835660334172579,0.9976501106279088,-2.39589521104115,7.10093169318716
test_Mix_DPerc10_c_4.dcm,421380.0,0.975834125914915,0.014068519679295942,0.8722514686808576,0.9752040894178683,0.9793698023956664,0.9833829251544975,0.9976806286717022,-2.373146395308474,6.9005589266051786
