,contrast,dissimilarity,homogeneity,energy
p214-010-60348-cl.png,66584240.0,4370653.75,7986583.613953058,30565.52497702265
p214-010-60348-cr.png,75683606.25,5013618.75,7927325.811360861,42805.807232359126
p214-010-60348-ml.png,96536187.0,6164679.75,7815108.706460254,53671.178013186734
p214-010-60348-mr.png,95646332.5,6229730.25,7821897.250085048,53399.85480571698
p214-010-60357-cl.png,876011467.5,58311357.0,7474258.141879769,126954.63424893885
p214-010-60357-cr.png,858363028.75,59098291.75,7164930.40906413,136408.0802485744
p214-010-60357-ml.png,734438456.25,51567269.5,7937606.7691980405,128166.80966467527
p214-010-60357-mr.png,701218623.75,50715066.25,7828215.5261395825,132817.49781724464
p214-010-60385-cl.png,114894986.0,11301136.75,6815621.87322296,71264.20648724251
p214-010-60385-cr.png,72317228.5,8477674.75,7034765.700313883,75850.4561722622
p214-010-60385-ml.png,145363562.5,13168595.75,6673794.278293397,72641.6258164031
p214-010-60385-mr.png,85543306.25,8819788.0,7092267.339087108,63205.49066608747
p214-010-60439-cl.png,232047297.25,19916680.5,5833989.200336536,71863.82111698904
p214-010-60439-cr.png,99700403.25,11576097.0,6460481.036643652,84870.42401768576
p214-010-60439-ml.png,167789789.5,17184159.75,5825105.917398532,99026.03309916014
p214-010-60439-mr.png,98103188.0,12232157.5,6194687.818070267,103445.47338809828
p214-010-60568-cl.png,225151942.5,17677353.0,11441251.860880224,62068.09390713248
p214-010-60568-cr.png,242431181.75,18759952.0,11324384.124753179,76240.20735033562
p214-010-60568-ml.png,230256140.75,18859729.25,11085986.744150147,86684.73028064547
p214-010-60568-mr.png,235830614.0,18758268.25,11204704.164112791,86149.36656078554
p214-010-60618-cl.png,73061608.75,7218130.25,7398005.067029199,50765.942704542715
p214-010-60618-cr.png,87529288.25,7985122.0,7403182.788732886,60145.663133778406
p214-010-60618-ml.png,62577435.5,6780303.25,7304157.749287685,59904.44163879416
p214-010-60618-mr.png,81680671.5,7287154.75,7434272.229641911,54176.723438873676
p214-010-60666-cl.png,70723101.5,7246007.75,7391864.478792731,63837.4420573868
p214-010-60666-cr.png,42948340.25,3917575.75,7815137.626180872,45489.19951383013
p214-010-60666-ml.png,60662245.75,6111069.75,7458533.582809521,47022.36773829749
p214-010-60666-mr.png,66028274.75,5920282.0,7596799.573116045,57978.278353025264
p214-010-60733-cl.png,91619025.5,7615071.25,7457490.8534550825,40433.13188475689
p214-010-60733-cr.png,132666363.5,10160549.75,7204830.165831312,50241.72672041939
p214-010-60733-ml.png,167508309.75,10920655.5,7327514.357821339,44685.49932932427
p214-010-60733-mr.png,190012156.0,12974292.75,7096926.478033954,51454.92706225109
p214-010-60813-cl.png,91337985.25,7452892.25,7554915.778374871,58836.695236893334
p214-010-60813-cr.png,88498466.25,6946781.5,7640629.338570546,45954.64907342284
p214-010-60813-ml.png,96480069.75,7509284.5,7565212.095464433,47267.9876820344
p214-010-60813-mr.png,94220729.25,7492479.0,7565577.144517127,42115.429616875845
p214-010-60880-cl.png,214047600.0,14612290.0,6950400.890884567,61325.79597243769
p214-010-60880-cr.png,111082631.25,8895838.5,7345779.886085125,64994.32091262075
p214-010-60880-ml.png,171712005.0,13780896.5,6758435.669740444,72105.81310741267
p214-010-60880-mr.png,119472282.25,10326668.75,7098921.804338205,59761.802887521546
p214-010-60916-cl.png,342370554.75,23232810.25,11175609.66974892,67969.37240170708
p214-010-60916-cr.png,331931117.5,22070272.25,11356262.66533563,61019.65407843589
p214-010-60916-ml.png,462068975.25,29549302.25,10631640.984824877,68546.67940675688
p214-010-60916-mr.png,398609026.5,26184079.5,10869904.347860005,73227.84777591434
p214-010-60929-cl.png,254678063.75,15717851.75,6882803.196523562,49776.44880068891
p214-010-60929-cr.png,212740372.25,14411323.25,6902917.091831671,56887.80760150054
p214-010-60929-ml.png,110153947.75,9408839.75,7118450.732881268,64340.116836092435
p214-010-60929-mr.png,119174873.75,10102181.0,7084455.416111389,52152.01463841845
p214-010-61062-cl.png,455967198.25,35544318.0,9419325.54767314,104100.3776721678
p214-010-61062-cr.png,429877125.0,34072949.75,9504100.546944039,102527.46514080784
p214-010-61062-ml.png,472866125.0,35074404.0,9544150.910317538,92411.02895330155
p214-010-61062-mr.png,472312136.75,34438239.25,9666391.6857666,95272.79144740773
p214-010-61236-cl.png,411863209.75,28988701.75,10352600.7624516,84385.80195779442
p214-010-61236-cr.png,302437902.0,23348483.0,10750472.415019955,73005.35162707503
p214-010-61236-ml.png,419171030.25,30162507.5,10112517.926356127,82305.18784162789
p214-010-61236-mr.png,352013073.0,26183456.25,10449141.600503534,86847.7959366035
p214-010-61246-cl.png,267216498.75,18384705.25,6505345.954933328,67229.0213043117
p214-010-61246-cr.png,241398628.25,16233854.75,6781710.937861709,59467.231468248894
p214-010-61246-ml.png,238356168.75,16685814.25,6680024.286075864,64674.14856336653
p214-010-61246-mr.png,238949013.0,16262317.0,6731383.090736444,63583.78934844032
p214-010-61445-cl.png,153441597.5,11498129.75,12224289.040958332,56263.135095226855
p214-010-61445-cr.png,182866833.0,12580773.75,12255658.060863439,52723.03935978816
p214-010-61445-ml.png,193116197.5,14959101.0,11747023.416027091,50344.36445011107
