,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
p214-010-60109-mr.png,3016832.0,0.28344701966025504,0.12374688415384244,0.0392156862745098,0.16862745098039217,0.2784313725490196,0.3764705882352941,0.9294117647058824,0.3466361966904384,-0.786662225499005
p214-010-60112-cl.png,962832.0,0.3241785059238644,0.1927258892741162,0.01568627450980392,0.1607843137254902,0.30196078431372547,0.47058823529411764,0.8627450980392157,0.37024202134526535,-0.8903639585164395
p214-010-60112-cr.png,992976.0,0.30709332942825696,0.1928594667943073,0.011764705882352941,0.1450980392156863,0.26666666666666666,0.45098039215686275,0.9294117647058824,0.5526977595863221,-0.6885606419059169
p214-010-60112-ml.png,1033792.0,0.366398698323507,0.17706542100708267,0.0196078431372549,0.2235294117647059,0.34901960784313724,0.5019607843137255,0.9098039215686274,0.2693883943118002,-0.8246411404093408
p214-010-60112-mr.png,1033312.0,0.3122099902176348,0.15675541276949717,0.01568627450980392,0.19215686274509805,0.29411764705882354,0.4117647058823529,0.9176470588235294,0.5588456775297345,-0.047105724408264556
p214-010-60117-cl.png,6611648.0,0.27290607335987155,0.09688340578072153,0.043137254901960784,0.19215686274509805,0.2784313725490196,0.34509803921568627,0.803921568627451,0.06754241685319079,-0.6082600810607399
p214-010-60117-cr.png,6783856.0,0.2789830843384993,0.09964250130600288,0.0392156862745098,0.19607843137254902,0.28627450980392155,0.35294117647058826,1.0,0.07352180538570918,-0.4007305608235384
p214-010-60117-ml.png,6043152.0,0.2687082282005592,0.10989844194868933,0.043137254901960784,0.17254901960784313,0.2549019607843137,0.34901960784313724,0.8352941176470589,0.5095131469522743,-0.3661873486359956
p214-010-60117-mr.png,6273952.0,0.28878354285695995,0.12471703178991693,0.06274509803921569,0.17647058823529413,0.26666666666666666,0.396078431372549,0.996078431372549,0.4201188657965335,-0.922027993953308
p214-010-60120-cl.png,2919136.0,0.29850819409793655,0.14211297248372556,0.0196078431372549,0.19215686274509805,0.29411764705882354,0.39215686274509803,0.8941176470588236,0.3019349040817274,-0.4206483427618928
p214-010-60120-cr.png,2974416.0,0.2946183114963892,0.1401669696257243,0.027450980392156862,0.20392156862745098,0.28627450980392155,0.3764705882352941,0.9921568627450981,0.4055150057659297,-0.09126002399177627
