,contrast_cluster_1,dissimilarity_cluster_1,homogeneity_cluster_1,energy_cluster_1,contrast_cluster_2,dissimilarity_cluster_2,homogeneity_cluster_2,energy_cluster_2,contrast_cluster_3,dissimilarity_cluster_3,homogeneity_cluster_3,energy_cluster_3,contrast_cluster_4,dissimilarity_cluster_4,homogeneity_cluster_4,energy_cluster_4
test_Mix_DPerc5_c_14.dcm,39055858.0,176344.5,3665012.8310849564,48975.3263183103,177019643.25,746731.5,3660090.3306776877,48222.24323751783,296905103.75,1218590.5,3656743.4185411753,47032.63671760004,229641510.5,967006.25,3641963.3225003667,101312.12053034347
test_Mix_DPerc5_c_2.dcm,42491103.5,189085.75,3665026.2989429464,56276.45938059512,188093781.0,789495.25,3660148.6809541876,34008.52683345123,339649300.25,1388746.0,3655718.516571252,37954.31786636927,264409544.5,1102583.75,3642235.005913304,79643.059506032
test_Mix_DPerc5_c_3.dcm,52470383.5,231965.0,3664388.7296971036,36274.9453710208,198930461.25,832719.5,3659341.8708077963,39094.947124870756,383872290.25,1560668.75,3655982.502052666,59218.51016653195,304820802.75,1263354.5,3641989.9912395924,88127.44906984837
test_Mix_DPerc5_c_4.dcm,92501551.25,398788.5,3663490.33635623,48588.311806387646,221512207.25,923323.75,3657784.795822232,37619.69348006532,815072612.0,3282789.5,3647905.088305646,59834.08893939451,705553440.75,2857856.25,3638110.0054416386,98899.79208801207
test_Mix_DPerc5_c_5.dcm,37363633.5,169028.25,3664893.4123703055,47508.673118252496,160396855.0,675688.0,3660615.923087331,37301.43131038608,339434499.25,1387693.5,3655220.366199241,65657.1053091105,272817830.75,1135874.0,3642361.408112562,94818.46198558965
test_Mix_DPerc5_c_6.dcm,40056309.5,180438.5,3664749.3546186937,38294.706842134365,156676053.25,660404.5,3660755.4345687046,42336.236493238976,323170254.5,1323028.0,3656627.0252494616,38625.86702843077,262959253.75,1100958.5,3641405.8686956903,103933.89318921091
test_Mix_DPerc5_c_7.dcm,37559537.75,169480.75,3665014.704960569,47739.41786892535,145722629.5,615718.0,3661462.031839043,56287.94333114683,290587798.0,1194310.0,3656441.2794849975,29812.616338086733,236246792.25,995234.5,3641400.824427819,104758.89313903722
test_Mix_DPerc5_c_8.dcm,38333952.5,172555.75,3664990.7167005274,32863.08379448901,152014834.0,641902.0,3661323.8087106925,44654.92328692711,281275281.25,1157375.75,3656507.614644653,52550.7698123287,225235519.25,950960.25,3641596.421558232,81524.76125372178
test_Mix_DPerc5_c_9.dcm,38091628.75,171327.75,3665128.804407522,40248.85487243497,148629291.25,628392.75,3661532.6079505286,45778.33878046552,277721206.5,1143625.75,3656520.0013393415,49291.255182099514,224384624.75,947414.0,3641749.433876076,102664.7322933405
test_Mix_DPerc75_c_0.dcm,78662083.25,336062.25,3663511.6896810057,48010.59931251842,254018003.0,1038074.75,3659683.268860046,42508.53165793668,468244427.0,1890127.5,3650293.6442725337,81879.86631014294,255643580.75,1022591.75,3659508.000888694,96922.54199914423
test_Mix_DPerc75_c_1.dcm,73816352.0,316061.25,3664069.3690407593,52138.917473196954,192448601.25,791233.25,3661294.7533084545,47507.39387862834,418266688.0,1692252.25,3650032.281464051,85870.79604947683,263867498.25,1055375.25,3659303.752927903,98499.02191218938
test_Mix_DPerc75_c_10.dcm,37152486.25,163717.5,3665041.6260764445,49269.152625040886,188415651.0,777045.25,3660657.189941501,44628.50803907914,456623604.5,1843255.5,3650387.653657609,96029.15738057866,300938424.25,1202946.25,3658487.012120093,75580.94317220463
test_Mix_DPerc75_c_11.dcm,31309191.25,138974.75,3665401.7853301046,46699.84834399085,186773079.0,771949.5,3661095.415161107,49418.842106124226,446269474.25,1805350.25,3651361.1273415224,79022.46382920782,289682333.25,1158335.25,3658636.19682899,98106.78206755794
test_Mix_DPerc75_c_12.dcm,34523223.75,152468.5,3665191.3362320913,32918.81635265548,187634800.75,774598.0,3660293.202217091,53736.25555596847,425229108.75,1716846.0,3651129.8830217337,77303.22064605665,274156958.5,1096814.5,3658835.317978589,94046.8758837436
